,main_galaxy,original_galaxy_gift,tech_level,consume_rate,owned_galaxy,owned_galaxy_num,owned_resource,civi_type,original_type,changing_type_times,back_type_times,malthusian_trap,out_resource_gala_num,extinct,original_turn,extinct_turn,living_turn,technology_explosion_times,reporting_self_times,reporting_others_times,galaxy_travel_times,galaxy_successful_times,taken_without_civi_times,coummunicate_times,direct_attacker_times,direct_attacked_times,direct_war_times,victory_better_times,victory_worse_times,lose_better_times,lose_worse_times,dark_forest_attacker,dark_forest_successful_attacker,dark_forest_attacked,dark_forest_survive_attacked,taken_merge_times,disasters_num,sign
1,7 79,3,747.1055136285877,1.2656429235444296e-29,{},0,0,communicate,communicate,0,0,0,0,merged,1,47,149,4,150,0,77,77,71,1,0,17,17,0,0,0,0,0,0,77,77,0,0,+
2,20 3,3,1.0270469427682207,5.411442025718943e-20,{},0,0,attack,attack,0,0,1,0,resource_out,1,9,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
3,25 3,3,3.5145005818346795,1.3941027280081146e-39,{},0,0,attack,attack,0,0,1,0,resource_out,1,27,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D
4,48 70,1,0.6799792255803648,1.624290570346983e-08,{},0,0,attack,communicate,1,0,1,0,resource_out,1,3,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
5,59 67,5,1.4162482524502489,1.543125278387321e-23,{},0,0,attack,attack,0,0,1,0,resource_out,1,13,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,d
6,98 59,1,0.6948113938985069,4.883494136519804e-10,{},0,0,attack,communicate,1,0,1,0,resource_out,1,4,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.
7,36 87,3,1.38222381856964,2.9109844645007675e-46,{},0,0,attack,attack,0,0,1,0,resource_out,2,26,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
8,45 49,1,3.5037074857307635,1.8241629407544562e-18,{},0,0,attack,hide,1,0,1,0,resource_out,2,12,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,","
9,60 89,2,1.135830840538581,3.55739911608772e-14,{},0,0,attack,communicate,1,0,1,0,resource_out,2,7,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,62 57,3,13360.400752832064,203242026619.7484,{},0,0,attack,attack,0,0,1,85,resource_out,2,96,148,6,0,24,147,120,80,0,58,42,100,21,0,0,12,586,23,241,236,0,0,+
11,82 75,3,21116.63830583271,17508354956.115444,{},0,0,attack,attack,0,0,1,126,resource_out,2,103,148,5,0,11,152,150,125,0,25,14,39,14,0,0,13,110,4,12,11,0,0,","
12,95 46,3,22549.88452644642,309495333348.12494,{},0,0,attack,hide,1,0,1,84,resource_out,2,94,148,3,0,0,83,83,82,0,1,0,1,1,0,0,0,0,0,0,0,0,0,<
13,9 38,1,12875.228696546306,62620957708.17261,{},0,0,attack,communicate,1,0,1,116,resource_out,3,82,147,3,536,0,130,130,116,3,0,62,62,0,0,0,0,0,0,519,519,1,0,d
14,16 16,2,16500.303674738323,37911416004.25146,{},0,0,attack,attack,0,0,1,94,resource_out,3,54,147,2,0,0,96,92,91,0,2,0,2,2,0,0,0,31,11,0,0,0,0,3
15,29 75,2,0.9011172293774394,2.028739546282137e-06,{},0,0,attack,hide,1,0,1,0,resource_out,3,4,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,^
16,32 64,3,0.44233958244656085,7.714410975863338e-05,{},0,0,attack,hide,1,0,1,0,resource_out,3,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,v
17,90 10,2,7867.424371992776,7403917105.36537,{},0,0,attack,attack,0,0,1,115,resource_out,3,73,147,5,0,5,122,118,112,0,8,0,8,2,0,0,0,101,9,42,42,0,0,^
18,92 62,1,3084.4804706899567,344397496.50498813,{},0,0,attack,hide,1,0,1,72,resource_out,3,86,147,5,0,0,71,71,67,0,4,0,4,4,0,0,0,0,0,0,0,0,0,3
19,0 52,1,7864.038322880098,52091190457.188965,{},0,0,attack,communicate,1,0,1,398,resource_out,4,71,146,5,568,0,105,105,88,7,0,65,65,0,0,0,0,0,0,440,440,6,0,","
20,13 64,5,0.41956505323406557,0.00013445551090869817,{},0,0,attack,communicate,1,0,1,0,resource_out,4,4,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,^
21,15 94,1,0.8254475240598848,3.834914935418321e-06,{},0,0,attack,attack,0,0,1,0,resource_out,4,5,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<
22,25 17,1,0.9451223942640972,2.717410497354383e-28,{},0,0,attack,hide,1,0,1,0,resource_out,4,17,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,_
23,31 79,3,1.1457005673807716,7.971266086733601e-08,{},0,0,attack,attack,0,0,1,0,resource_out,4,6,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,s
24,53 38,2,1.2607715597658888,5.957080408873373e-25,{},0,0,attack,communicate,1,0,1,0,resource_out,4,16,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<
25,57 71,1,0.5855530811919125,1.2357501408413771e-11,{},0,0,attack,attack,0,0,1,0,resource_out,4,8,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,v
26,62 5,1,0.8765195352931519,2.7985914467491453e-27,{},0,0,attack,communicate,1,0,1,0,resource_out,4,16,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,70 18,4,9.416503308965243,8.694126829547877e-31,{},0,0,hide,hide,0,0,0,0,DirectWar,4,22,146,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
28,81 17,3,1935.0903424559915,300231802.389857,{},0,0,attack,communicate,1,0,1,56,resource_out,4,72,146,5,348,0,136,136,82,1,0,139,139,0,0,0,13,0,0,1194,1179,1,0,+
29,79 42,3,2.106455768284283,7.766030709352684e-19,{},0,0,attack,attack,0,0,1,0,resource_out,4,12,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,|
30,0 36,4,0.4506329992691245,2.1333369944242745e-10,{},0,0,attack,communicate,1,0,1,0,resource_out,5,8,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<
31,16 43,2,1.0405579867081307,2.2086697595942455e-06,{},0,0,attack,communicate,1,0,1,0,resource_out,5,6,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,","
32,18 93,1,3429.2676232905437,625642583.919116,{},0,0,attack,hide,1,0,1,82,resource_out,5,74,145,4,0,0,72,72,67,0,14,3,17,14,0,0,0,0,0,1,1,0,0,^
33,49 29,3,0.7822542667425524,5.0019798373703644e-12,{},0,0,attack,hide,1,0,1,0,resource_out,5,9,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,s
34,59 27,4,12877.48095469273,480358347251.9096,{},0,0,attack,communicate,1,0,1,117,resource_out,5,74,145,5,388,0,119,119,110,1,0,41,41,0,0,0,0,0,0,225,225,1,0,1
35,89 99,1,2785.9294949563227,1693227904.2099018,{},0,0,attack,communicate,1,0,1,113,resource_out,5,80,145,3,446,0,112,112,112,0,0,2,2,0,0,0,0,0,0,11,11,0,0,>
36,85 7,3,7270.453474068786,723893848.010745,{},0,0,attack,hide,1,0,1,52,resource_out,5,93,145,2,0,0,123,119,79,0,3,32,35,3,0,0,25,0,0,26,20,0,0,h
37,98 13,1,0.779710998979818,2.4440463303136973e-26,{},0,0,attack,communicate,1,0,1,0,resource_out,5,17,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,","
38,1 7,2,1.685633092686975,2.1681114075325283e-11,{},0,0,attack,attack,0,0,1,0,resource_out,6,10,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,","
39,40 47,1,0.5932594897374286,6.168813533947334e-07,{},0,0,attack,communicate,1,0,1,0,resource_out,6,7,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
40,41 63,3,0.5004420823533647,5.9852292811344896e-05,{},0,0,attack,attack,0,0,1,0,resource_out,6,6,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,s
41,56 63,1,0.9601880602084969,2.5880260678671785e-16,{},0,0,attack,hide,1,0,1,0,resource_out,6,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,|
42,67 2,3,0.3376122648299544,1.2438220353746059e-06,{},0,0,attack,hide,1,0,1,0,resource_out,6,7,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,|
43,76 73,1,1.5512399231821778,1.502969928083987e-11,{},0,0,attack,communicate,1,0,1,0,resource_out,6,10,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<
44,87 12,5,1.8367828614427009,3.291731555074022e-31,{},0,0,attack,attack,0,0,1,0,resource_out,6,21,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,s
45,6 35,1,2.4523153517584895,2.656946301335671e-24,{},0,0,attack,communicate,1,0,1,0,resource_out,7,20,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D
46,12 26,1,0.3662934295108554,7.658228566187033e-11,{},0,0,attack,hide,1,0,1,0,resource_out,7,10,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,^
47,16 86,1,2.4486510982224434,9.039957101475445e-22,{},0,0,attack,hide,1,0,1,0,resource_out,7,17,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
48,20 66,1,0.9587582214577695,4.385000608567778e-20,{},0,0,attack,communicate,1,0,1,0,resource_out,7,15,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
49,46 87,2,5526.770857782437,565404440.5059252,{},0,0,attack,attack,0,0,1,107,resource_out,7,95,143,3,0,4,136,132,113,0,19,53,72,15,0,0,13,65,3,258,249,0,0,h
50,55 43,2,1.0259941445623761,9.310034632619522e-16,{},0,0,attack,hide,1,0,1,0,resource_out,7,13,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,H
51,51 46,2,4918.78700326877,390741674.82664627,{},0,0,attack,hide,1,0,1,95,resource_out,7,79,143,5,0,0,77,77,64,0,30,23,53,30,0,0,0,0,0,135,135,0,0,D
52,59 22,2,2.055827343531772,1.8716044243588023e-21,{},0,0,attack,attack,0,0,1,0,resource_out,7,17,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,61 86,3,1.4469701493180354,2.6108668318120833e-44,{},0,0,attack,communicate,1,0,1,0,resource_out,7,31,143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
54,64 11,2,0.7898011293341766,5.1196150681863596e-14,{},0,0,attack,attack,0,0,1,0,resource_out,7,12,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,h
55,68 50,2,1.9405299667491893,1.0068879051831026e-24,{},0,0,attack,attack,0,0,1,0,resource_out,7,18,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
56,76 99,3,0.5280767212645553,2.5361238316376362e-08,{},0,0,attack,communicate,1,0,1,0,resource_out,7,9,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
57,3 24,4,0.5835213905785623,5.116820969727818e-11,{},0,0,attack,attack,0,0,1,0,resource_out,8,11,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<
58,19 19,3,2.3751725745987824,1.6610373640456692e-12,{},0,0,attack,communicate,1,0,1,0,resource_out,8,13,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,h
59,33 10,3,4852.863564119531,3174424923.921621,{},0,0,attack,communicate,1,0,1,284,resource_out,8,65,142,6,299,0,86,86,84,7,0,11,11,0,0,0,1,0,0,41,31,3,0,>
60,40 79,2,10206.652354438256,4813764819.603873,{},0,0,attack,hide,1,0,1,54,resource_out,8,61,142,5,0,0,53,53,52,0,1,0,1,1,0,0,0,0,0,0,0,0,0,v
61,77 59,2,15457.328574211746,315759792213.09515,{},0,0,attack,hide,1,0,1,58,resource_out,8,97,142,4,0,0,76,75,56,0,19,27,46,19,0,0,13,0,0,81,76,0,0,","
62,88 96,2,0.553335328983142,1.2421408662534503e-12,{},0,0,attack,hide,1,0,1,0,resource_out,8,12,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
63,96 3,2,0.41269115684706004,2.107689254770787e-12,{},0,0,attack,attack,0,0,1,0,resource_out,8,12,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,_
64,1 18,2,1.8643002703197082,1.6485182645665283e-31,{},0,0,attack,hide,1,0,1,0,resource_out,9,25,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,>
65,2 43,1,0.8301883299845729,1.511597670975127e-10,{},0,0,attack,communicate,1,0,1,0,resource_out,9,12,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D
66,8 7,1,0.5098587133757984,6.138660776148507e-09,{},0,0,attack,communicate,1,0,1,0,resource_out,9,11,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,o
67,23 35,1,19941.21651742052,249353424584.76657,{},0,0,attack,hide,1,0,1,70,resource_out,9,66,141,7,0,0,70,70,57,0,12,12,24,12,0,0,0,0,0,85,85,0,0,p
68,17 78,3,0.7535289496260202,9.297355816130091e-14,{},0,0,attack,hide,1,0,1,0,resource_out,9,14,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,h
