,owner,explore_level,exist,DFA,RR,inital_state,resource
0 0,0.0,6020.0,1.0,0.0,1.0,0.0,-22120705.184728004
0 1,0.0,6020.0,1.0,0.0,1.0,0.0,-22121379.569769934
0 2,0.0,6020.0,1.0,0.0,1.0,0.0,-22121374.9771913
0 3,0.0,6020.0,1.0,0.0,1.0,0.0,-22120566.218756787
0 4,0.0,6020.0,1.0,0.0,1.0,0.0,-22040728.6482092
0 5,0,0,1,0,0,0,0
0 6,0.0,6020.0,1.0,0.0,1.0,1.0,-16674843.363164313
0 7,0,0,1,0,0,1,1
0 8,0,0,1,0,0,5,5
0 9,0,0,1,0,0,0,0
0 10,0,0,1,0,0,0,0
0 11,0.0,1407.0,1.0,0.0,1.0,2.0,-2399277.6105551682
0 12,0.0,1407.0,1.0,0.0,1.0,0.0,-3436329.6528029745
0 13,0.0,0.0,1.0,0.0,0.0,2.0,1.2669692328364375
0 14,0.0,1407.0,1.0,0.0,1.0,0.0,-4389096.148739294
0 15,0.0,22241.0,1.0,0.0,1.0,4.0,-1127224761.4320822
0 16,0.0,22241.0,1.0,0.0,1.0,1.0,-1450869345.7758446
0 17,0.0,22241.0,1.0,0.0,1.0,0.0,-1422253235.2818823
0 18,0.0,22241.0,1.0,0.0,1.0,0.0,-1463565022.4435349
0 19,0.0,22241.0,1.0,0.0,1.0,0.0,-1463600109.6808038
0 20,0.0,22241.0,1.0,0.0,1.0,1.0,-1463584699.5548358
0 21,0.0,22241.0,1.0,0.0,1.0,0.0,-1456484639.3716278
0 22,0.0,22241.0,1.0,0.0,1.0,0.0,-1464147355.3749073
0 23,0.0,22241.0,1.0,0.0,1.0,0.0,-1463635393.3626266
0 24,0.0,22241.0,1.0,0.0,1.0,0.0,-1463661989.8681421
0 25,0.0,17326.0,0.0,1.0,1.0,2.0,-3266467067.092335
0 26,0.0,17326.0,0.0,1.0,1.0,0.0,-3516006999.3872004
0 27,0.0,22241.0,1.0,0.0,1.0,0.0,-1463689136.7286065
0 28,0.0,22241.0,1.0,0.0,1.0,0.0,-1463689138.897543
0 29,0.0,22241.0,1.0,0.0,1.0,1.0,-1463689393.4409256
0 30,0.0,2858.0,0.0,1.0,1.0,0.0,-3455999422.191755
0 31,0.0,17326.0,0.0,1.0,1.0,0.0,-3506161543.2286205
0 32,0.0,17326.0,1.0,0.0,1.0,0.0,-3492580554.2031813
0 33,0.0,17326.0,0.0,1.0,1.0,0.0,-3492585619.475668
0 34,0.0,22241.0,1.0,0.0,1.0,1.0,-1463692441.3606958
0 35,0.0,22241.0,1.0,0.0,1.0,0.0,-1463692171.4675756
0 36,0.0,30186.0,0.0,1.0,1.0,4.0,-61509214695.5806
0 37,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214660.36241
0 38,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214679.79967
0 39,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214680.79967
0 40,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214700.37913
0 41,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214683.45399
0 42,0.0,1.0,1.0,0.0,1.0,1.0,-61509214679.02331
0 43,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214680.02323
0 44,0.0,1.0,1.0,0.0,1.0,3.0,-61509214691.522316
0 45,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214655.376335
0 46,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214115.50328
0 47,0.0,30186.0,0.0,1.0,1.0,3.0,-61509214473.74686
0 48,0.0,352.0,0.0,1.0,1.0,0.0,-61509155981.53688
0 49,0.0,30186.0,0.0,1.0,1.0,1.0,-61508336153.66288
0 50,0.0,17758.0,1.0,0.0,1.0,2.0,-1132978111.5108116
0 51,0.0,17758.0,1.0,0.0,1.0,1.0,-1132978050.1808798
0 52,0.0,2229.0,1.0,0.0,1.0,0.0,-51371179318.01667
0 53,0.0,18239.0,1.0,0.0,1.0,2.0,-51379668674.92842
0 54,0.0,18239.0,0.0,1.0,1.0,0.0,-51379668766.13074
0 55,0.0,18239.0,1.0,0.0,1.0,0.0,-51379708020.206345
0 56,0.0,18239.0,1.0,0.0,1.0,1.0,-51379564774.68309
0 57,0.0,18239.0,1.0,0.0,1.0,0.0,-51379714007.290504
0 58,0.0,18239.0,1.0,0.0,1.0,1.0,-51379714171.69942
0 59,0.0,638.0,1.0,0.0,1.0,1.0,-51378970502.33193
0 60,0.0,35488.0,1.0,0.0,1.0,4.0,-3109612460.8984404
0 61,0.0,35488.0,1.0,0.0,1.0,0.0,-3109612745.688554
0 62,0.0,35488.0,1.0,0.0,1.0,0.0,-3109612792.9954023
0 63,0.0,35488.0,1.0,0.0,1.0,0.0,-3109612792.9954023
0 64,0.0,35488.0,1.0,0.0,1.0,0.0,-3109612789.4128494
0 65,0.0,35488.0,1.0,0.0,1.0,0.0,-3109609831.2674
0 66,0.0,35488.0,1.0,0.0,1.0,0.0,-3109609985.0211353
0 67,0.0,35488.0,1.0,0.0,1.0,1.0,-3109594196.0735865
0 68,429,7554,0,1,0,0,82250790.0829843
0 69,406,2723,0,1,0,0,11781544.695859103
0 70,0.0,19619.0,1.0,0.0,1.0,0.0,-2643408269.8182898
0 71,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.167591
0 72,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.442686
0 73,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.511648
0 74,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541736.468055
0 75,0.0,19619.0,1.0,0.0,1.0,5.0,-2643541814.3478293
0 76,0.0,19619.0,1.0,0.0,1.0,1.0,-2643541742.0927696
0 77,0.0,19619.0,1.0,0.0,1.0,3.0,-2643541760.2211103
0 78,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.442686
0 79,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541055.696337
0 80,0.0,19619.0,1.0,0.0,1.0,0.0,-2643538321.502964
0 81,0.0,19619.0,1.0,0.0,1.0,0.0,-2643502123.513419
0 82,0.0,8249.0,0.0,1.0,1.0,0.0,-4069328070.582937
0 83,0.0,8249.0,1.0,0.0,1.0,0.0,-4069789520.9110093
0 84,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792014.0883036
0 85,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792366.5528483
0 86,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792310.6897087
0 87,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792310.6897087
0 88,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792279.22524
0 89,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792079.749822
0 90,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792035.2846093
0 91,0,0,1,0,0,1,1
0 92,0,0,1,0,0,0,0
0 93,538,2110,1,0,0,1,6786009.872916055
